domain,scraped_url,company_name,num_employees,parent_company,annual_sales
gds.it,www.gds.it,GIORNALE DI SICILIA EDITORIALE POLIGRAFICA SPA,61,APE SRL,7.17M
gearpatrol.com,www.gearpatrol.com,"Gear Patrol, LLC",24,NA,5.90M
gelderlander.nl,www.gelderlander.nl,DG B.V.,1,NA,184.75K
givemesport.com,www.givemesport.com,SPORTS NEW MEDIA LIMITED,22,SPORTS NEW MEDIA HOLDINGS LIMITED,2.60M
gizmodo.com,www.gizmodo.com,Gizmodo Gallery,10,NA,0.65M
globalissues.org,www.globalissues.org,Global Issues Incorporated,5,NA,73.34K
globalresearch.ca,www.globalresearch.ca,Centre For Research On Globalization,5,NA,0.70M
globalsecurity.org,www.globalsecurity.org,Global Security Organization,16,NA,0.55M
globalvoices.org,www.globalvoices.org,Stichting Global Voices,5,NA,27.17K
globegazette.com,www.globegazette.com,Forest City Publishing Co.,18,NA,276.66K
goal.com,www.goal.com,"Goal.com North America, Inc.",14,NA,492.51K
golem.de,www.golem.de,Golem Media GmbH,26,Computec Media GmbH,1.93M
good.is,www.good.is,"Good Worldwide, LLC",44,NA,3.60M
goodnewsnetwork.org,www.goodnewsnetwork.org,Good News Network,8,NA,195.54K
govtrack.us,www.govtrack.us,The Congress LLC,4,NA,71.34K
gq.com,www.gq.com,"<zhi Zu> Magazine Publisher Co., Ltd.",500,NA,9.98M
grandforksherald.com,www.grandforksherald.com,"Grand Forks Herald, Incorporated",2,The Form Communications Inc,7.19M
grantland.com,www.grantland.com,Dan Handyman,6,NA,63.03K
greensboro.com,www.greensboro.com,"Greensboro News & Record, LLC",600,"Bh Media Group, Inc.",86.26M
greenwichtime.com,www.greenwichtime.com,Old Greenwich Fitness Club LLC,9,NA,0.52M
gwinnettdailypost.com,www.gwinnettdailypost.com,"Gray Publishing, LLC",120,"Triple Crown Media, LLC",17.21M
handelsblatt.com,www.handelsblatt.com,Handelsblatt GmbH,500,HANDELSBLATT MEDIA GROUP GMBH & CO. KG,101.40M
harpers.org,www.harpers.org,Harper's Magazine Foundation,48,NA,10.58M
harpersbazaar.com,www.harpersbazaar.com,Harper's Bazaar,800,NA,51.93M
haz.de,www.haz.de,Laporte·Kartenshop GmbH,28,Verlagsgesellschaft Madsack GmbH & Co. KG,0.56M
heise.de,www.heise.de.ezproxy.library.tufts.edu,Heise Medien GmbH & Co. KG,250,Heise Gruppe GmbH & Co. KG,51.38M
heraldextra.com,www.heraldextra.com,5050 Properties LLC,5,NA,165K
heraldmailmedia.com,www.heraldmailmedia.com,Herald-Mail Company,230,"Schurz Communications, Inc.",26.82M
heraldnet.com,www.heraldnet.com,The Daily Herald Company,282,Graham Holdings Company,36.86M
heraldo.es,www.heraldo.es,HERALDO DE ARAGON EDITORA SL,105,HENNEO MEDIA SA.,18.86M
heraldsun.com.au,www.heraldsun.com.au.ezproxy.library.tufts.edu,LEADER ASSOCIATED NEWSPAPERS PTY. LTD.,10600,THE HERALD AND WEEKLY TIMES PTY LIMITED,0.96B
heraldtribune.com,www.heraldtribune.com,Sarasota Herald-Tribune,740,"Halifax Media Holdings, LLC",89.69M
hitc.com,www.hitc.com,ENTREPRENEUR LIMITED,1,NA,47.58K
hna.de,www.hna.de,Verlag Dierichs GmbH & Co. KG,500,ZHH Zeitungsholding Hessen GmbH & Co. KG,74.36M
houstonchronicle.com,www.houstonchronicle.com,Houston Chronicle Employees Federal Credit Union,3,NA,0.80M
houstonpress.com,www.houstonpress.com,Houston Press LP,1,"Voice Media Group, Inc.",3.46M
hoy.es,www.hoy.es,"CORPORACION DE MEDIOS DE EXTREMADURA, SA",56,VOCENTO GESTION DE MEDIOS Y SERVICIOS SL.,5.09M
huffingtonpost.co.uk,www.huffingtonpost.co.uk,HUFFPOST UK LIMITED,3,BUZZFEED UK LIMITED,0.66M
huffingtonpost.fr,www.huffingtonpost.fr,G. T. I.,1,NA,208.26K
hwupgrade.it,www.hwupgrade.it,HARDWARE UPGRADE SRL,11,NA,1.15M
ibj.com,www.ibj.com,Ibj Corporation,75,NA,10.27M
ibtimes.co.uk,www.ibtimes.co.uk,International Business Times,30,NA,1.95M
ideal.es,www.ideal.es,CORPORACION DE MEDIOS DE ANDALUCIA SA,98,VOCENTO GESTION DE MEDIOS Y SERVICIOS SL.,12.61M
ilcentro.it,www.ilcentro.it,IL CENTRO SPA,42,NA,5.99M
ilfattoquotidiano.it,www.ilfattoquotidiano.it,SOCIETA' EDITORIALE IL FATTO SPA IN BREVE SEIF SPA,150,NA,38.48M
ilfoglio.it,www.ilfoglio.it,IL FOGLIO QUOTIDIANO SOC COOP,26,NA,6.62M
ilgazzettino.it,www.ilgazzettino.it,IL GAZZETTINO SPA,79,CALTAGIRONE EDITORE SPA,25.82M
ilgiornale.it,www.ilgiornale.it,SOCIETA' EUROPEA DI EDIZIONI SPA,98,PBF SRL,21M
ilmattino.it,www.ilmattino.it,IL MATTINO SPA,60,CALTAGIRONE EDITORE SPA,17.69M
ilmessaggero.it,www.ilmessaggero.it,IL MESSAGGERO SPA,128,CALTAGIRONE EDITORE SPA,50.35M
ilmeteo.it,www.ilmeteo.it,ILMETEO SRL,11,MEFIN SRL,12.75M
ilsole24ore.com,www.ilsole24ore.com,IL SOLE 24 ORE SPA,794,NA,231.92M
iltempo.it,www.iltempo.it,IL TEMPO. SRL,27,FINANZIARIA TOSINVEST SPA,4.83M
independent.co.uk,www.independent.co.uk,INDEPENDENT DIGITAL NEWS AND MEDIA LIMITED,200,NA,56.29M
indystar.com,www.indystar.com,Indiana Newspapers LLC,1300,Gannett Media Corp.,240.48M
inews.co.uk,www.inews.co.uk,MEDIAHUIS UK FINANCE PLC,2,MEDIAHUIS UK GROUP LTD,4.16M
infolibre.es,www.infolibre.es,EDICIONES PRENSA LIBRE SL.,24,NA,1.56M
infowars.com,www.infowars.com,"Free Speech Systems, LLC",41,NA,7.33M
inquisitr.com,www.inquisitr.com,INQUISITR LTD,61,NA,5.78M
internazionale.it,www.internazionale.it,INTERNAZIONALE SPA,42,NA,12.03M
